Customer_ID,Contract_ID,Payment_ID,Gender,Age,Tenure_Months,Monthly_Charges,Total_Charges,Internet_Service,Customer_Support_Calls,Senior_Citizen,Partner,Dependents,Churn
CUST00023,CON00023,PAY00023,Female,73,37,58.26,2155.62,DSL,0,Yes,No,Yes,No
CUST00024,CON00024,PAY00024,Male,26,50,31.99,1599.5,DSL,4,Yes,No,Yes,Yes
CUST00025,CON00025,PAY00025,Female,60,26,84.48,2196.48,DSL,5,Yes,Yes,No,No
CUST00026,CON00026,PAY00026,Male,33,47,64.19,3016.93,Fiber Optic,9,No,No,Yes,No
CUST00027,CON00027,PAY00027,Male,19,23,30.68,705.64,DSL,0,No,Yes,No,Yes
CUST00028,CON00028,PAY00028,Female,76,4,26.93,107.72,Cable,3,Yes,Yes,Yes,Yes
CUST00029,CON00029,PAY00029,Female,43,11,78.41,862.51,Fiber Optic,2,No,Yes,No,Yes
CUST00030,CON00030,PAY00030,Male,72,55,31.89,1753.95,,4,No,Yes,Yes,No
CUST00031,CON00031,PAY00031,Female,30,47,63.33,2976.51,Fiber Optic,7,Yes,No,No,Yes
CUST00032,CON00032,PAY00032,Male,67,21,96.3,2022.3,,6,Yes,Yes,Yes,No
CUST00033,CON00033,PAY00033,Female,55,72,99.37,7154.64,Fiber Optic,4,Yes,Yes,Yes,Yes
CUST00034,CON00034,PAY00034,Male,25,70,76.5,5355.0,DSL,5,No,No,No,No
CUST00035,CON00035,PAY00035,Female,76,2,33.79,67.58,Cable,3,Yes,Yes,Yes,Yes
CUST00036,CON00036,PAY00036,Male,71,5,79.08,395.4,,0,Yes,No,Yes,Yes
CUST00037,CON00037,PAY00037,Female,41,50,59.47,2973.5,,5,Yes,Yes,No,No
CUST00038,CON00038,PAY00038,Female,68,23,29.37,675.51,Fiber Optic,1,No,Yes,Yes,Yes
CUST00039,CON00039,PAY00039,Male,72,53,28.19,1494.07,,5,No,Yes,Yes,No
CUST00040,CON00040,PAY00040,Female,52,5,64.38,321.9,DSL,5,Yes,No,Yes,No
CUST00041,CON00041,PAY00041,Male,30,58,25.62,1485.96,Cable,7,Yes,Yes,Yes,Yes
CUST00042,CON00042,PAY00042,Male,28,45,84.28,3792.6,DSL,3,No,No,No,No
CUST00043,CON00043,PAY00043,Male,22,38,51.89,1971.82,Cable,8,Yes,Yes,Yes,Yes
CUST00044,CON00044,PAY00044,Female,35,38,96.54,3668.52,Cable,0,Yes,Yes,Yes,No
CUST00045,CON00045,PAY00045,Male,53,22,60.06,1321.32,Cable,6,Yes,Yes,Yes,Yes
CUST00046,CON00046,PAY00046,Male,28,27,80.78,2181.06,Cable,0,No,No,Yes,No
CUST00047,CON00047,PAY00047,Female,72,27,34.17,922.59,Cable,6,No,Yes,Yes,No
CUST00048,CON00048,PAY00048,Female,70,29,60.6,1757.4,Cable,2,Yes,No,Yes,Yes
CUST00049,CON00049,PAY00049,Female,61,21,33.66,706.86,Fiber Optic,2,No,Yes,No,Yes
CUST00050,CON00050,PAY00050,Female,62,69,77.51,5348.19,,6,Yes,No,No,Yes
CUST00051,CON00051,PAY00051,Female,18,10,99.22,992.2,,3,No,Yes,Yes,No
CUST00052,CON00052,PAY00052,Male,34,19,62.04,1178.76,Fiber Optic,4,No,No,No,Yes
CUST00053,CON00053,PAY00053,Male,34,26,101.64,2642.64,Fiber Optic,2,Yes,No,Yes,Yes
CUST00054,CON00054,PAY00054,Female,58,32,97.45,3118.4,,5,No,No,No,No
CUST00055,CON00055,PAY00055,Male,56,67,29.27,1961.09,Cable,4,No,No,No,Yes
CUST00056,CON00056,PAY00056,Male,63,69,79.7,5499.3,Fiber Optic,6,No,Yes,Yes,Yes
CUST00057,CON00057,PAY00057,Female,27,45,62.8,2826.0,Fiber Optic,7,Yes,No,No,Yes
CUST00058,CON00058,PAY00058,Male,47,45,53.32,2399.4,,3,No,No,Yes,No
CUST00059,CON00059,PAY00059,Female,41,69,27.44,1893.36,DSL,1,No,Yes,No,No
CUST00060,CON00060,PAY00060,Female,53,72,101.53,7310.16,Fiber Optic,4,Yes,Yes,Yes,Yes
CUST00061,CON00061,PAY00061,Male,73,18,102.66,1847.88,,4,Yes,Yes,Yes,No
CUST00062,CON00062,PAY00062,Female,55,64,27.2,1740.8,Cable,4,Yes,No,Yes,Yes
CUST00063,CON00063,PAY00063,Female,37,62,29.04,1800.48,DSL,3,No,No,Yes,Yes
CUST00064,CON00064,PAY00064,Female,68,35,45.75,1601.25,Cable,3,No,No,Yes,No
CUST00065,CON00065,PAY00065,Female,72,25,34.79,869.75,Cable,4,No,Yes,Yes,No
CUST00066,CON00066,PAY00066,Female,22,46,104.57,4810.22,DSL,8,Yes,Yes,No,Yes
CUST00067,CON00067,PAY00067,Female,18,48,101.89,4890.72,Cable,2,Yes,Yes,Yes,Yes
CUST00068,CON00068,PAY00068,Male,56,31,102.17,3167.27,,8,Yes,No,Yes,No
CUST00069,CON00069,PAY00069,Female,57,72,99.78,7184.16,Fiber Optic,2,Yes,Yes,Yes,Yes
CUST00070,CON00070,PAY00070,Male,33,26,51.47,1338.22,,1,No,Yes,No,No
CUST00071,CON00071,PAY00071,Male,58,68,79.88,5431.84,Fiber Optic,5,No,Yes,Yes,Yes
CUST00072,CON00072,PAY00072,Female,18,48,98.23,4715.04,DSL,7,Yes,Yes,No,Yes
CUST00073,CON00073,PAY00073,Female,55,34,99.59,3386.06,,6,No,No,No,No
CUST00074,CON00074,PAY00074,Female,29,24,25.17,604.08,Fiber Optic,1,No,No,No,No
CUST00075,CON00075,PAY00075,Female,63,17,27.58,468.86,Fiber Optic,2,No,Yes,No,Yes
CUST00076,CON00076,PAY00076,Female,76,72,45.56,3280.32,Cable,0,No,No,Yes,Yes
CUST00077,CON00077,PAY00077,Female,33,50,30.46,1523.0,Fiber Optic,5,No,Yes,No,Yes
CUST00078,CON00078,PAY00078,Female,68,2,53.1,106.2,,3,No,Yes,Yes,No
CUST00079,CON00079,PAY00079,Female,52,33,98.15,3238.95,Cable,5,Yes,No,No,Yes
CUST00080,CON00080,PAY00080,Female,18,46,95.8,4406.8,DSL,7,Yes,Yes,No,Yes
CUST00081,CON00081,PAY00081,Female,46,44,82.33,3622.52,DSL,7,No,No,No,Yes
CUST00082,CON00082,PAY00082,Female,49,33,54.81,1808.73,Fiber Optic,3,Yes,No,Yes,No
CUST00083,CON00083,PAY00083,Female,20,62,96.36,5974.32,Fiber Optic,7,No,No,No,Yes
CUST00084,CON00084,PAY00084,Female,54,30,26.87,806.1,,5,No,No,Yes,Yes
CUST00085,CON00085,PAY00085,Male,69,5,76.01,380.05,,2,Yes,No,Yes,Yes
CUST00086,CON00086,PAY00086,Male,33,24,102.52,2460.48,Fiber Optic,2,Yes,No,Yes,Yes
CUST00087,CON00087,PAY00087,Female,50,42,80.67,3388.14,DSL,7,No,No,No,Yes
CUST00088,CON00088,PAY00088,Male,18,35,77.79,2722.65,DSL,8,Yes,No,No,No
CUST00089,CON00089,PAY00089,Female,25,11,95.51,1050.61,Fiber Optic,2,Yes,Yes,No,No
CUST00090,CON00090,PAY00090,Female,55,31,26.62,825.22,,3,No,No,Yes,Yes
CUST00091,CON00091,PAY00091,Male,56,2,55.23,110.46,Cable,3,Yes,Yes,No,No
CUST00092,CON00092,PAY00092,Male,53,24,55.03,1320.72,Cable,6,Yes,Yes,Yes,Yes
CUST00093,CON00093,PAY00093,Female,60,71,76.4,5424.4,,5,Yes,No,No,Yes
CUST00094,CON00094,PAY00094,Male,49,5,96.86,484.3,DSL,5,No,No,No,No
CUST00095,CON00095,PAY00095,Female,52,44,103.43,4550.92,DSL,0,No,No,No,No
CUST00096,CON00096,PAY00096,Male,53,61,55.97,3414.17,Cable,8,Yes,Yes,No,No
CUST00097,CON00097,PAY00097,Female,54,72,99.99,7199.28,Fiber Optic,2,Yes,Yes,Yes,Yes
CUST00098,CON00098,PAY00098,Female,77,72,52.37,3770.64,Cable,0,No,No,Yes,Yes
CUST00099,CON00099,PAY00099,Female,33,60,95.46,5727.6,Fiber Optic,6,No,Yes,No,Yes
CUST00100,CON00100,PAY00100,Male,22,40,53.3,2132.0,Cable,8,Yes,Yes,Yes,Yes
CUST00101,CON00101,PAY00101,Female,35,48,30.02,1440.96,Fiber Optic,6,No,Yes,No,Yes
CUST00102,CON00102,PAY00102,Female,25,22,29.25,643.5,Fiber Optic,1,No,No,No,No
CUST00103,CON00103,PAY00103,Female,46,33,46.0,1518.0,Fiber Optic,5,Yes,No,Yes,No
CUST00104,CON00104,PAY00104,Male,74,21,56.84,1193.64,DSL,2,No,Yes,No,No
CUST00105,CON00105,PAY00105,Female,27,38,32.17,1222.46,,1,No,No,No,Yes
CUST00106,CON00106,PAY00106,Female,19,44,102.41,4506.04,Cable,2,Yes,Yes,Yes,Yes
CUST00107,CON00107,PAY00107,Male,22,35,81.1,2838.5,DSL,9,Yes,No,No,No
CUST00108,CON00108,PAY00108,Male,72,5,27.17,135.85,,4,Yes,No,Yes,No
CUST00109,CON00109,PAY00109,Male,31,60,25.44,1526.4,Cable,7,Yes,Yes,Yes,Yes
CUST00110,CON00110,PAY00110,Male,54,4,34.2,136.8,Cable,2,Yes,Yes,No,Yes
CUST00111,CON00111,PAY00111,Male,70,44,56.47,2484.68,Cable,7,No,Yes,No,Yes
CUST00112,CON00112,PAY00112,Male,55,43,28.16,1210.88,,4,Yes,Yes,No,No
CUST00113,CON00113,PAY00113,Male,70,23,58.07,1335.61,Cable,0,Yes,No,Yes,Yes
CUST00114,CON00114,PAY00114,Male,25,47,34.01,1598.47,DSL,5,Yes,No,Yes,Yes
CUST00115,CON00115,PAY00115,Male,51,2,56.68,113.36,Cable,4,Yes,Yes,No,No
CUST00116,CON00116,PAY00116,Male,23,36,51.96,1870.56,Cable,8,Yes,Yes,Yes,Yes
CUST00117,CON00117,PAY00117,Male,66,50,77.75,3887.5,,4,No,No,Yes,Yes
CUST00118,CON00118,PAY00118,Male,65,57,81.37,4638.09,Cable,1,No,No,No,No
CUST00119,CON00119,PAY00119,Male,76,36,77.41,2786.76,Fiber Optic,6,No,No,No,Yes
CUST00120,CON00120,PAY00120,Female,38,48,27.92,1340.16,Fiber Optic,7,No,Yes,No,Yes
CUST00121,CON00121,PAY00121,Female,35,64,34.12,2183.68,DSL,1,No,No,Yes,Yes
CUST00122,CON00122,PAY00122,Male,47,4,99.24,396.96,DSL,5,No,No,No,No
CUST00123,CON00123,PAY00123,Female,60,71,84.15,5974.65,,6,Yes,No,No,Yes
CUST00124,CON00124,PAY00124,Male,69,7,75.38,527.66,,1,Yes,No,Yes,Yes
CUST00125,CON00125,PAY00125,Female,57,22,77.74,1710.28,DSL,3,Yes,Yes,No,No
CUST00126,CON00126,PAY00126,Female,67,8,27.5,220.0,,4,Yes,No,Yes,No
CUST00127,CON00127,PAY00127,Male,25,35,54.84,1919.4,Fiber Optic,2,Yes,No,No,No
CUST00128,CON00128,PAY00128,Male,70,51,78.49,4002.99,,5,No,No,Yes,Yes
CUST00129,CON00129,PAY00129,Female,47,33,47.71,1574.43,Fiber Optic,5,Yes,No,Yes,No
CUST00130,CON00130,PAY00130,Female,70,23,79.86,1836.78,Cable,0,Yes,Yes,No,Yes
CUST00131,CON00131,PAY00131,Female,59,62,104.47,6477.14,Cable,0,No,No,Yes,Yes
CUST00132,CON00132,PAY00132,Male,23,46,25.98,1195.08,DSL,6,Yes,No,Yes,Yes
CUST00133,CON00133,PAY00133,Male,37,47,49.23,2313.81,Fiber Optic,9,No,Yes,No,Yes
CUST00134,CON00134,PAY00134,Female,71,28,30.32,848.96,Cable,5,No,Yes,Yes,No
CUST00135,CON00135,PAY00135,Male,58,2,84.63,169.26,Fiber Optic,1,No,No,No,No
CUST00136,CON00136,PAY00136,Female,59,69,95.93,6619.17,Fiber Optic,2,Yes,Yes,Yes,Yes
CUST00137,CON00137,PAY00137,Male,77,35,83.68,2928.8,Fiber Optic,5,No,No,No,Yes
CUST00138,CON00138,PAY00138,Male,64,67,76.42,5120.14,Fiber Optic,5,No,Yes,Yes,Yes
CUST00139,CON00139,PAY00139,Male,73,26,57.15,1485.9,Cable,1,Yes,No,Yes,Yes
CUST00140,CON00140,PAY00140,Female,53,36,45.63,1642.68,DSL,5,Yes,Yes,No,Yes
CUST00141,CON00141,PAY00141,Female,65,28,64.52,1806.56,,0,No,No,Yes,Yes
CUST00142,CON00142,PAY00142,Male,31,33,56.53,1865.49,Fiber Optic,1,No,No,No,Yes
CUST00143,CON00143,PAY00143,Female,31,52,60.11,3125.72,Fiber Optic,3,No,No,Yes,Yes
CUST00144,CON00144,PAY00144,Male,36,17,60.09,1021.53,Fiber Optic,5,No,No,No,Yes
CUST00145,CON00145,PAY00145,Male,58,68,62.61,4257.48,Fiber Optic,0,Yes,No,Yes,No
CUST00146,CON00146,PAY00146,Male,58,68,33.28,2263.04,Cable,4,No,No,No,Yes
CUST00147,CON00147,PAY00147,Female,72,2,51.18,102.36,,2,No,Yes,Yes,No
CUST00148,CON00148,PAY00148,Female,51,33,96.92,3198.36,Cable,5,Yes,No,No,Yes
CUST00149,CON00149,PAY00149,Male,52,32,98.08,3138.56,,9,Yes,No,Yes,No
CUST00150,CON00150,PAY00150,Male,72,35,78.52,2748.2,Fiber Optic,6,No,No,No,Yes
CUST00151,CON00151,PAY00151,Female,42,12,81.59,979.08,Fiber Optic,1,No,Yes,No,Yes
CUST00152,CON00152,PAY00152,Male,55,50,102.08,5104.0,Cable,0,No,No,Yes,No
CUST00153,CON00153,PAY00153,Female,57,48,55.02,2640.96,,5,Yes,Yes,No,No
CUST00154,CON00154,PAY00154,Male,63,63,34.9,2198.7,,2,No,Yes,Yes,No
CUST00155,CON00155,PAY00155,Male,25,71,80.47,5713.37,DSL,6,No,No,No,No
CUST00156,CON00156,PAY00156,Female,31,48,61.48,2951.04,Fiber Optic,6,Yes,No,No,Yes
CUST00157,CON00157,PAY00157,Male,73,46,57.64,2651.44,Cable,8,No,Yes,No,Yes
CUST00158,CON00158,PAY00158,Female,48,6,56.53,339.18,DSL,3,Yes,No,Yes,No
CUST00159,CON00159,PAY00159,Female,33,56,64.35,3603.6,Fiber Optic,3,No,No,Yes,Yes
CUST00160,CON00160,PAY00160,Female,40,9,61.07,549.63,DSL,5,No,Yes,Yes,No
CUST00161,CON00161,PAY00161,Male,75,21,59.45,1248.45,DSL,0,No,Yes,No,No
CUST00162,CON00162,PAY00162,Male,26,45,79.97,3598.65,DSL,5,No,No,No,No
CUST00163,CON00163,PAY00163,Male,54,32,103.61,3315.52,,9,Yes,No,Yes,No
CUST00164,CON00164,PAY00164,Male,58,65,59.35,3857.75,Fiber Optic,0,Yes,No,Yes,No
CUST00165,CON00165,PAY00165,Male,52,3,25.57,76.71,Cable,2,Yes,Yes,No,Yes
CUST00166,CON00166,PAY00166,Male,25,72,78.18,5628.96,DSL,6,No,No,No,No
CUST00167,CON00167,PAY00167,Male,32,3,60.31,180.93,,8,No,No,Yes,No
CUST00168,CON00168,PAY00168,Female,62,21,32.08,673.68,Fiber Optic,1,No,Yes,No,Yes
CUST00169,CON00169,PAY00169,Female,18,10,98.28,982.8,,1,No,Yes,Yes,No
CUST00170,CON00170,PAY00170,Female,49,11,33.98,373.78,Fiber Optic,8,No,Yes,Yes,Yes
CUST00171,CON00171,PAY00171,Male,21,71,83.2,5907.2,DSL,5,No,No,No,No
CUST00172,CON00172,PAY00172,Female,44,7,63.57,444.99,DSL,6,No,Yes,Yes,No
CUST00173,CON00173,PAY00173,Female,61,28,61.04,1709.12,,2,No,No,Yes,Yes
CUST00174,CON00174,PAY00174,Female,46,2,62.1,124.2,DSL,3,Yes,No,Yes,No
CUST00175,CON00175,PAY00175,Male,51,49,103.5,5071.5,Cable,2,No,No,Yes,No
CUST00176,CON00176,PAY00176,Female,54,41,99.83,4093.03,DSL,1,No,No,No,No
CUST00177,CON00177,PAY00177,Male,18,12,51.05,612.6,Cable,3,Yes,Yes,No,Yes
CUST00178,CON00178,PAY00178,Female,57,35,95.69,3349.15,,7,No,No,No,No
CUST00179,CON00179,PAY00179,Female,37,64,25.42,1626.88,DSL,3,No,No,Yes,Yes
CUST00180,CON00180,PAY00180,Male,31,4,58.66,234.64,,9,No,No,Yes,No
CUST00181,CON00181,PAY00181,Female,60,31,64.12,1987.72,,1,No,Yes,Yes,Yes
CUST00182,CON00182,PAY00182,Female,41,66,28.84,1903.44,DSL,1,No,No,Yes,Yes
CUST00183,CON00183,PAY00183,Female,71,4,30.85,123.4,Cable,3,Yes,Yes,Yes,Yes
CUST00184,CON00184,PAY00184,Female,59,27,56.55,1526.85,,2,No,No,Yes,Yes
CUST00185,CON00185,PAY00185,Male,64,57,82.85,4722.45,Cable,0,No,No,No,No
CUST00186,CON00186,PAY00186,Male,32,27,47.74,1288.98,,0,No,Yes,No,No
CUST00187,CON00187,PAY00187,Male,71,45,57.55,2589.75,Cable,8,No,Yes,No,Yes
CUST00188,CON00188,PAY00188,Male,71,49,83.21,4077.29,,6,No,No,Yes,Yes
CUST00189,CON00189,PAY00189,Male,53,58,55.84,3238.72,Cable,1,No,Yes,No,No
CUST00190,CON00190,PAY00190,Female,54,45,98.32,4424.4,DSL,1,No,No,No,No
CUST00191,CON00191,PAY00191,Female,75,3,26.8,80.4,Cable,3,Yes,Yes,Yes,Yes
CUST00192,CON00192,PAY00192,Male,35,25,47.37,1184.25,,1,No,Yes,No,No
CUST00193,CON00193,PAY00193,Female,69,44,60.86,2677.84,Fiber Optic,6,No,No,Yes,Yes
CUST00194,CON00194,PAY00194,Male,21,35,80.05,2801.75,DSL,8,Yes,No,No,No
CUST00195,CON00195,PAY00195,Male,23,36,53.16,1913.76,Cable,8,Yes,Yes,Yes,Yes
CUST00196,CON00196,PAY00196,Male,50,3,30.2,90.6,Cable,1,Yes,Yes,No,Yes
CUST00197,CON00197,PAY00197,Male,28,49,29.1,1425.9,DSL,5,Yes,No,Yes,Yes
CUST00198,CON00198,PAY00198,Female,74,41,58.17,2384.97,DSL,0,Yes,No,Yes,No
CUST00199,CON00199,PAY00199,Male,77,34,76.28,2593.52,Fiber Optic,7,No,No,No,Yes
CUST00200,CON00200,PAY00200,Female,74,4,75.23,300.92,,6,No,No,No,Yes
CUST00201,CON00201,PAY00201,Male,20,53,32.1,1701.3,DSL,0,No,No,Yes,Yes
CUST00202,CON00202,PAY00202,Female,58,50,60.99,3049.5,,7,Yes,Yes,No,No
CUST00203,CON00203,PAY00203,Female,67,3,54.72,164.16,,2,No,Yes,Yes,No
CUST00204,CON00204,PAY00204,Male,35,48,59.4,2851.2,Fiber Optic,8,No,No,Yes,No
CUST00205,CON00205,PAY00205,Female,34,57,102.27,5829.39,Fiber Optic,6,No,Yes,No,Yes
CUST00206,CON00206,PAY00206,Female,57,70,79.0,5530.0,,4,Yes,No,No,Yes
CUST00207,CON00207,PAY00207,Female,74,4,75.26,301.04,,6,No,No,No,Yes
CUST00208,CON00208,PAY00208,Female,69,23,82.38,1894.74,Cable,0,Yes,Yes,No,Yes
CUST00209,CON00209,PAY00209,Male,22,34,76.21,2591.14,Fiber Optic,7,Yes,Yes,No,Yes
CUST00210,CON00210,PAY00210,Male,24,71,83.42,5922.82,DSL,6,No,No,No,No
CUST00211,CON00211,PAY00211,Female,70,29,62.59,1815.11,Cable,0,Yes,No,Yes,Yes
CUST00212,CON00212,PAY00212,Female,29,45,56.09,2524.05,Fiber Optic,6,Yes,No,No,Yes
CUST00213,CON00213,PAY00213,Female,58,69,77.23,5328.87,,6,Yes,No,No,Yes
CUST00214,CON00214,PAY00214,Female,67,28,31.05,869.4,Cable,4,No,Yes,Yes,No
CUST00215,CON00215,PAY00215,Male,57,20,61.45,1229.0,Cable,6,Yes,Yes,Yes,Yes
CUST00216,CON00216,PAY00216,Female,47,32,104.23,3335.36,Cable,4,Yes,No,No,Yes
CUST00217,CON00217,PAY00217,Male,56,50,100.69,5034.5,Cable,0,No,No,Yes,No
CUST00218,CON00218,PAY00218,Female,55,30,25.64,769.2,,5,No,No,Yes,Yes
CUST00219,CON00219,PAY00219,Male,52,66,79.55,5250.3,Fiber Optic,6,Yes,Yes,Yes,No
CUST00220,CON00220,PAY00220,Male,69,53,83.11,4404.83,,4,No,No,Yes,Yes
CUST00221,CON00221,PAY00221,Female,72,36,49.88,1795.68,Cable,4,No,No,Yes,No
CUST00222,CON00222,PAY00222,Male,27,43,83.04,3570.72,DSL,3,No,No,No,No
CUST00223,CON00223,PAY00223,Female,61,62,95.1,5896.2,Cable,0,No,No,Yes,Yes
CUST00224,CON00224,PAY00224,Female,70,30,57.96,1738.8,Cable,2,Yes,No,Yes,Yes
CUST00225,CON00225,PAY00225,Male,32,24,49.13,1179.12,,0,No,Yes,No,No
CUST00226,CON00226,PAY00226,Female,36,63,26.42,1664.46,DSL,3,No,No,Yes,Yes
CUST00227,CON00227,PAY00227,Female,52,66,34.87,2301.42,Cable,5,Yes,No,Yes,Yes
CUST00228,CON00228,PAY00228,Female,35,59,101.46,5986.14,Fiber Optic,4,No,Yes,No,Yes
CUST00229,CON00229,PAY00229,Male,67,59,83.12,4904.08,Cable,0,No,No,No,No
CUST00230,CON00230,PAY00230,Male,34,6,57.8,346.8,,8,No,No,Yes,No
CUST00231,CON00231,PAY00231,Female,46,15,82.29,1234.35,Fiber Optic,2,No,Yes,No,Yes
CUST00232,CON00232,PAY00232,Male,51,4,100.22,400.88,DSL,5,No,No,No,No
CUST00233,CON00233,PAY00233,Male,33,17,81.31,1382.27,DSL,0,Yes,No,Yes,No
CUST00234,CON00234,PAY00234,Female,77,71,53.49,3797.79,Cable,2,No,No,Yes,Yes
CUST00235,CON00235,PAY00235,Male,47,55,60.53,3329.15,Cable,0,No,Yes,No,No
CUST00236,CON00236,PAY00236,Female,67,42,63.92,2684.64,Fiber Optic,8,No,No,Yes,Yes
CUST00237,CON00237,PAY00237,Female,26,17,31.84,541.28,DSL,7,No,No,No,Yes
CUST00238,CON00238,PAY00238,Female,54,11,27.85,306.35,Fiber Optic,8,No,Yes,Yes,Yes
CUST00239,CON00239,PAY00239,Female,67,18,104.66,1883.88,Cable,2,No,No,Yes,No
CUST00240,CON00240,PAY00240,Female,68,4,54.97,219.88,,2,No,Yes,Yes,No
CUST00241,CON00241,PAY00241,Female,66,42,61.2,2570.4,Fiber Optic,8,No,No,Yes,Yes
CUST00242,CON00242,PAY00242,Male,19,22,34.89,767.58,DSL,0,No,Yes,No,Yes
CUST00243,CON00243,PAY00243,Female,22,68,54.29,3691.72,DSL,8,No,No,No,Yes
CUST00244,CON00244,PAY00244,Male,75,25,59.97,1499.25,Cable,1,Yes,No,Yes,Yes
CUST00245,CON00245,PAY00245,Male,73,3,76.56,229.68,,1,Yes,No,Yes,Yes
CUST00246,CON00246,PAY00246,Male,18,35,83.51,2922.85,DSL,7,Yes,No,No,No
CUST00247,CON00247,PAY00247,Female,22,45,97.16,4372.2,Cable,3,Yes,Yes,Yes,Yes
CUST00248,CON00248,PAY00248,Female,68,1,48.9,48.9,,3,No,Yes,Yes,No
CUST00249,CON00249,PAY00249,Female,71,72,50.23,3616.56,Cable,2,No,No,Yes,Yes
CUST00250,CON00250,PAY00250,Female,71,2,54.62,109.24,,2,No,Yes,Yes,No
CUST00251,CON00251,PAY00251,Female,71,18,99.29,1787.22,Cable,3,No,No,Yes,No
CUST00252,CON00252,PAY00252,Female,52,6,55.0,330.0,DSL,4,Yes,No,Yes,No
CUST00253,CON00253,PAY00253,Male,33,46,58.47,2689.62,Fiber Optic,7,No,No,Yes,No
CUST00254,CON00254,PAY00254,Female,62,17,32.15,546.55,Fiber Optic,1,No,Yes,No,Yes
CUST00255,CON00255,PAY00255,Female,23,59,103.51,6107.09,Fiber Optic,8,No,No,No,Yes
CUST00256,CON00256,PAY00256,Male,56,30,97.0,2910.0,,8,Yes,No,Yes,No
CUST00257,CON00257,PAY00257,Female,24,10,101.6,1016.0,,3,No,Yes,Yes,No
CUST00258,CON00258,PAY00258,Female,64,60,95.19,5711.4,Cable,1,No,No,Yes,Yes
CUST00259,CON00259,PAY00259,Male,27,38,50.51,1919.38,Fiber Optic,1,Yes,No,No,No
CUST00260,CON00260,PAY00260,Male,72,20,103.81,2076.2,,5,Yes,Yes,Yes,No
CUST00261,CON00261,PAY00261,Female,41,47,62.2,2923.4,,4,Yes,Yes,No,No
CUST00262,CON00262,PAY00262,Female,30,62,51.81,3212.22,Cable,2,No,Yes,Yes,No
CUST00263,CON00263,PAY00263,Female,71,19,95.35,1811.65,Cable,3,No,No,Yes,No
CUST00264,CON00264,PAY00264,Male,36,25,50.95,1273.75,,0,No,Yes,No,No
CUST00265,CON00265,PAY00265,Male,18,32,50.35,1611.2,,2,No,Yes,Yes,No
CUST00266,CON00266,PAY00266,Female,42,7,55.98,391.86,DSL,4,No,Yes,Yes,No
CUST00267,CON00267,PAY00267,Female,62,61,102.41,6247.01,Cable,0,No,No,Yes,Yes
CUST00268,CON00268,PAY00268,Male,39,21,56.42,1184.82,Fiber Optic,5,No,No,No,Yes
CUST00269,CON00269,PAY00269,Female,50,33,101.3,3342.9,Cable,3,Yes,No,No,Yes
CUST00270,CON00270,PAY00270,Male,37,47,53.82,2529.54,Fiber Optic,8,No,Yes,No,Yes
CUST00271,CON00271,PAY00271,Male,22,36,79.95,2878.2,Fiber Optic,8,Yes,Yes,No,Yes
